spoke_id,group_id,item_id,question,answer_text,answer_html,item_sort,related_spoke_id,related_group_id,status,notes,primary_query
faculty,invitation-disclosures,fac-inv-access-invitation,I can't find my original ACC.26 faculty invitation. Is there an easy way for me to access it?,"Yes. You can access your invitation(s) by visiting the ACC.26 Portal (https://accscientificsession.acc.org/faculty-disclosures) and clicking on the ""Tasks"" tab at the top of the page if it's not already open.","<p>Yes. You can access your invitation(s) by visiting the <a href=""https://accscientificsession.acc.org/faculty-disclosures"">ACC.26 Portal</a> and clicking on the &quot;Tasks&quot; tab at the top of the page if it&#x27;s not already open.</p>",10,,,ready,,I can't find my original ACC.26 faculty invitation. Is there an easy way for me to access it
faculty,invitation-disclosures,fac-invitation-dis-are-any-faculty-roles-eligible-for-virtual-participation,Are any faculty roles eligible for virtual participation?,"No, all ACC.26 faculty must present live, in-person at the meeting.","<p>No, all ACC.26 faculty must present live, in-person at the meeting.</p>",20,,,ready,,Are any faculty roles eligible for virtual participation
faculty,invitation-disclosures,fac-invitation-dis-how-do-i-complete-my-disclosures,How do I complete my disclosures?,"All ACC.26 faculty must complete a disclosure statement prior to accepting a faculty invitation. To complete your disclosures, visit https://disclosures.acc.org (https://disclosures.acc.org/) and log in using your ACC username and password. If you do not have an ACC username you can create one for free on that page.","<p>All ACC.26 faculty must complete a disclosure statement prior to accepting a faculty invitation. To complete your disclosures, visit <a href=""https://disclosures.acc.org/"">https://disclosures.acc.org</a> and log in using your ACC username and password. If you do not have an ACC username you can create one for free on that page.</p>",30,,,ready,,How do I complete my disclosures
faculty,registration-benefits,fac-registration-b-i-tried-to-register-for-acc26-but-it-tells-me-i-must-pay-i-thought-that-as-a-faculty-member-i-get-free-registration,"I tried to register for ACC.26, but it tells me I must pay. I thought that as a faculty member I get free registration?",The registration fee is waived for confirmed ACC.26 faculty. Please allow 24 hours after accepting the faculty invitation before you access the registration site so that you can register with a complimentary status.,<p>The registration fee is waived for confirmed ACC.26 faculty. Please allow 24 hours after accepting the faculty invitation before you access the registration site so that you can register with a complimentary status.</p>,10,,,ready,,"I tried to register for ACC.26, but it tells me I must pay. I thought that as a faculty member I get free registration"
faculty,registration-benefits,fac-registration-b-will-staff-register-me-or-do-i-need-to-register-myself,"Will staff register me, or do I need to register myself?","You must register yourself. Registration is NOT automatic when you accept your invitation(s). Invited and confirmed faculty can register for ACC.26 during the Exclusive Member Registration period beginning on Wednesday, October 1, 2025. General Early Bird Registration opens on Wednesday, October 15.","<p>You must register yourself. Registration is NOT automatic when you accept your invitation(s). Invited and confirmed faculty can register for ACC.26 during the Exclusive Member Registration period beginning on Wednesday, October 1, 2025. General Early Bird Registration opens on Wednesday, October 15.</p>",20,,,ready,,"Will staff register me, or do I need to register myself"
faculty,travel-hotel-visa,fac-travel-hotel-v-where-is-acc26-being-held,Where is ACC.26 being held?,"At the New Orleans Ernest N. Morial Convention Center, 900 Convention Center Blvd, New Orleans, LA 70130.","<p>At the New Orleans Ernest N. Morial Convention Center, 900 Convention Center Blvd, New Orleans, LA 70130.</p>",10,,,ready,,Where is ACC.26 being held
faculty,travel-hotel-visa,fac-travel-hotel-v-how-do-i-make-a-hotel-reservation,How do I make a hotel reservation?,"You can make a hotel reservation through the ACC.26 site. To see which hotels are available, visit our registration page (https://accscientificsession.acc.org/Registration-and-Hotels/Registration-Rates-and-Dates).","<p>You can make a hotel reservation through the ACC.26 site. To see which hotels are available, visit our <a href=""https://accscientificsession.acc.org/Registration-and-Hotels/Registration-Rates-and-Dates"">registration page</a>.</p>",20,,,ready,,How do I make a hotel reservation
faculty,travel-hotel-visa,fac-travel-hotel-v-i-require-a-visa-to-come-to-acc26-how-do-i-receive-documentation-to-get-it,I require a visa to come to ACC.26. How do I receive documentation to get it?,"Once you register for the conference, you will be able to obtain official documentation to get a visa. Please visit the registration page (https://accscientificsession.acc.org/Registration-and-Hotels/Registration-Rates-and-Dates) for more information.","<p>Once you register for the conference, you will be able to obtain official documentation to get a visa. Please visit the <a href=""https://accscientificsession.acc.org/Registration-and-Hotels/Registration-Rates-and-Dates"">registration page</a> for more information.</p>",30,,,ready,,I require a visa to come to ACC.26. How do I receive documentation to get it
faculty,registration-benefits,fac-registration-b-as-a-faculty-member-will-i-have-access-to-acc-anywhere,"As a faculty member, will I have access to ACC Anywhere?","Confirmed faculty will receive a free three-month subscription to ACC Anywhere, a comprehensive digital library of ACC's in-person and virtual meetings including on demand access to 200+ sessions from ACC.26.","<p>Confirmed faculty will receive a free three-month subscription to ACC Anywhere, a comprehensive digital library of ACC&#x27;s in-person and virtual meetings including on demand access to 200+ sessions from ACC.26.</p>",30,,,ready,,"As a faculty member, will I have access to ACC Anywhere"
faculty,registration-benefits,fac-registration-b-as-a-faculty-member-do-i-receive-anything-besides-complimentary-registration,"As a faculty member, do I receive anything besides complimentary registration?","No, you do not. The ACC does not pay an honorarium, nor reimburse for hotel, travel, or per diem expenses for ACC.26 faculty members.","<p>No, you do not. The ACC does not pay an honorarium, nor reimburse for hotel, travel, or per diem expenses for ACC.26 faculty members.</p>",40,,,ready,,"As a faculty member, do I receive anything besides complimentary registration"
